Año,Trimestre,Provincia,Mbps (Media de bajada),ADSL,Cablemodem,Fibra óptica,Wireless,Otras Tecnologias,Total,Accesos por cada 100 hogares,Periodo,Accesos Totales,Accesos Totales en el Periodo Anterior,Nuevos Accesos,Nuevos Acesos Cada 100 Hogares (NACH),Accesos por cada 100 hogares (nacional),Coeficiente de Desigualdad de Penetración por Hogar,Porcentaje Fibra Óptica
2015,1,Salta,"4,02",76280,19781,47,129,574,96811.0,"30,01",2015 - Q1,96811,93947,2864,"3,05","38,51","0,29","0,05%"
2015,2,Salta,"4,22",77214,20297,47,129,580,98267.0,"30,46",2015 - Q2,98267,96811,1456,"1,50","38,97","0,29","0,05%"
2015,3,Salta,"4,42",78064,21688,47,129,645,100573.0,"31,18",2015 - Q3,100573,98267,2306,"2,35","39,64","0,29","0,05%"
2015,4,Salta,"4,67",78744,22446,47,129,554,101920.0,"31,59",2015 - Q4,101920,100573,1347,"1,34","39,67","0,29","0,05%"
2016,1,Salta,"4,74",78973,22741,73,132,507,102426.0,"31,32",2016 - Q1,102426,101920,506,"0,50","38,92","0,29","0,07%"
2016,2,Salta,"4,75",79438,24719,85,151,539,104932.0,"32,08",2016 - Q2,104932,102426,2506,"2,45","39,89","0,29","0,08%"
2016,3,Salta,"5,05",80866,26113,90,157,565,107791.0,"32,96",2016 - Q3,107791,104932,2859,"2,72","40,31","0,29","0,08%"
2016,4,Salta,"5,22",79389,26657,110,158,621,106935.0,"32,69",2016 - Q4,106935,107791,-856,"-0,79","40,43","0,30","0,10%"
2017,1,Salta,"5,34",79837,26845,114,158,679,107633.0,"32,58",2017 - Q1,107633,106935,698,"0,65","39,56","0,29","0,11%"
2017,2,Salta,"5,76",80184,27280,115,158,804,108541.0,"32,74",2017 - Q2,108541,107633,908,"0,84","40,29","0,30","0,11%"
2017,3,Salta,"6,13",80782,50284,127,158,1167,132518.0,"39,84",2017 - Q3,132518,108541,23977,"22,09","45,37","0,24","0,10%"
2017,4,Salta,"8,45",80705,50446,127,158,1376,132812.0,"39,80",2017 - Q4,132812,132518,294,"0,22","44,88","0,26","0,10%"
2018,1,Salta,"9,19",79936,51534,118,204,1391,133183.0,"39,78",2018 - Q1,133183,132812,371,"0,28","45,95","0,23","0,09%"
2018,2,Salta,"8,93",78386,53478,678,234,1391,134167.0,"39,94",2018 - Q2,134167,133183,984,"0,74","47,53","0,24","0,51%"
2018,3,Salta,"9,27",76600,53980,678,234,1391,132883.0,"39,43",2018 - Q3,132883,134167,-1284,"-0,96","49,64","0,22","0,51%"
2018,4,Salta,"10,46",74295,57539,638,253,1853,134578.0,"39,80",2018 - Q4,134578,132883,1695,"1,28","50,79","0,22","0,47%"
2019,1,Salta,"10,38",74426,57933,647,1135,1879,136020.0,"40,10",2019 - Q1,136020,134578,1442,"1,07","51,34","0,22","0,48%"
2019,2,Salta,"12,55",68827,62343,725,1210,9463,142568.0,"41,89",2019 - Q2,142568,136020,6548,"4,81","54,31","0,21","0,51%"
2019,3,Salta,"14,75",65799,74329,733,1580,9394,151835.0,"44,48",2019 - Q3,151835,142568,9267,"6,50","55,47","0,21","0,48%"
